"Balanced_accuracy" "Threshold" "Group"
"204" "0.966874404190581" "2600" "OR"
"205" "0.949044566544567" "2600" "OR"
"206" "0.947813644688645" "2600" "OR"
"207" "0.959132909574086" "2600" "OR"
"208" "0.936072246292835" "2600" "OR"
"209" "0.940703422394599" "2600" "OR"
"210" "0.926699032176973" "2600" "OR"
"211" "0.953060278685279" "2600" "OR"
"212" "0.955376948943125" "2600" "OR"
"213" "0.957805978247155" "2600" "OR"
"214" "0.940370933716522" "2600" "OR"
"215" "0.951218352725706" "2600" "OR"
"216" "0.951962814058402" "2600" "OR"
"217" "0.959187091503268" "2600" "OR"
"218" "0.958383520074696" "2600" "OR"
"219" "0.959266546362135" "2600" "OR"
"220" "0.939347402509167" "2600" "OR"
"221" "0.932649537465714" "2600" "OR"
"222" "0.950024240465417" "2600" "OR"
"223" "0.959330793301381" "2600" "OR"
"224" "0.937886196231784" "2600" "OR"
"225" "0.944404053374642" "2600" "OR"
"226" "0.950028908999497" "2600" "OR"
"227" "0.957287581699346" "2600" "OR"
"228" "0.959654358624947" "2600" "OR"
"229" "0.932141969053734" "2600" "OR"
"230" "0.928490556652321" "2600" "OR"
"231" "0.948416154923508" "2600" "OR"
"232" "0.949910095535096" "2600" "OR"
"233" "0.93680270202329" "2600" "OR"
"234" "0.944147408963585" "2600" "OR"
"235" "0.939116354961943" "2600" "OR"
"236" "0.955601452292629" "2600" "OR"
"237" "0.936316411353176" "2600" "OR"
"238" "0.942427557648146" "2600" "OR"
"239" "0.942925699212464" "2600" "OR"
"240" "0.96141327372945" "2600" "OR"
"241" "0.920953108894285" "2600" "OR"
"242" "0.966545474045474" "2600" "OR"
"243" "0.944801552117729" "2600" "OR"
"244" "0.940677386339151" "2600" "OR"
"245" "0.958933204778793" "2600" "OR"
"246" "0.951531558222735" "2600" "OR"
"247" "0.94150699382317" "2600" "OR"
"248" "0.937681733122909" "2600" "OR"
"249" "0.951500305250305" "2600" "OR"
"250" "0.92860873195432" "2600" "OR"
"251" "0.946433204778793" "2600" "OR"
"252" "0.938621615312792" "2600" "OR"
"253" "0.94198547367665" "2600" "OR"
"254" "0.936968559946501" "2600" "OR"
"255" "0.948077506643683" "2600" "OR"
"256" "0.940718155938744" "2600" "OR"
"257" "0.933191795949149" "2600" "OR"
"258" "0.941731586952175" "2600" "OR"
"259" "0.918291470607647" "2600" "OR"
"260" "0.957130557351146" "2600" "OR"
"261" "0.936764311580488" "2600" "OR"
"262" "0.945369372281137" "2600" "OR"
"263" "0.936232377739731" "2600" "OR"
"264" "0.964304936804937" "2600" "OR"
"265" "0.917571718049659" "2600" "OR"
"266" "0.942065601881778" "2600" "OR"
"267" "0.948253987665752" "2600" "OR"
"268" "0.936117126337714" "2600" "OR"
"269" "0.947606129076717" "2600" "OR"
"270" "0.963996399841988" "2600" "OR"
"271" "0.942735626301803" "2600" "OR"
"272" "0.921056041092806" "2600" "OR"
"273" "0.948699598515775" "2600" "OR"
"274" "0.954412268199033" "2600" "OR"
"275" "0.925211584807173" "2600" "OR"
"276" "0.943057755153343" "2600" "OR"
"277" "0.948932297277886" "2600" "OR"
"278" "0.97508305574482" "2600" "OR"
"279" "0.96872128997129" "2600" "OR"
"280" "0.954008609854198" "2600" "OR"
"281" "0.933414045105222" "2600" "OR"
"282" "0.937647212904566" "2600" "OR"
"283" "0.957075522516699" "2600" "OR"
"284" "0.941861138772903" "2600" "OR"
"285" "0.948559128779717" "2600" "OR"
"286" "0.934055070746247" "2600" "OR"
"287" "0.944111776207365" "2600" "OR"
"288" "0.969526098901099" "2600" "OR"
