""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"summary"
"Nemp2"	70.2915739969967	150.972186240498	5.45610347123626	8.04572130430896	2.67104258263779	1.73016532614097	0.540909999548582	3.74477780264541	0.646564865414384	0.290150519840853	4.89713900640853	0.174971164118219	4.76914536501421	0.0643094272708403	2.4760733823937	2.95613413154715	0.666491989443362	5.08233718805526	4.99471130801302	0.0966254780433596	0.814204088731947	0.864158995206292	0.646760069181556	0.621534657285537	0.954834678365938	24.8872842786194	0.0134484122506997	4.13816273828639	1.7198743215128	1.04522447878961	0.952597719959773	6.29309968554036	0.575542562232835	0.951754689097742	5.20400138969657	2.01267390835625	0.139950826490643	0.173164949940196	0.62436814337441	0.795034323072502	3.57060452839278	8.00594478244041	1.43211981577094	7.29368056117431	4.77602349827715	1.03521755037567	7.66553547741464	1.29494974978398	359.068885429196
"Pacc1"	16.3114747423894	219.878263515396	21.8730718415769	0.441608610949888	2.0904428630767	4.41528871602668	0.0266431330101745	2.51939247421679	0.168117553741795	2.91429383135391	0.765800733459718	0.350704730257988	0.148503674759706	0.00362386218716586	0.892180865761212	15.3230210781853	3.2795851362327	1.84698713831943	8.62020999108805	1.25305756930267	0.0445388356281711	0.238658369405191	0.111349724146645	2.51864838388192	3.86961421600896	1.75297449306199	0.00413320577383692	2.65902911027078	0.0489278764366655	0.704199718482095	0.594301621235571	3.72343656473199	5.60859014866351	2.80150331130279	2.20252084510014	2.33469318013819	1.97535486537009	1.74626877934439	1.62886982411714	2.46606633817864	1.77880624415422	5.10024143791567	1.17718445988818	3.50646310057336	1.29835029276641	3.14095183895801	2.54375030111428	0.322439252691905	359.024138400633
"Brf2"	69.4560092666615	126.046697311721	16.0754476833302	33.2441951721814	1.21192700082975	2.6236514463354	1.15690304157894	5.5999443092437	1.41369946900494	1.31392225092165	6.26406460541374	1.9574653394941	2.58623689745177	0.016931649682417	2.38897593071018	4.34012331179699	1.02173063423401	2.21935094253076	4.70161229787278	0.231868425354256	0.881231883405056	0.873184372100169	0.132958227623642	7.4713294261638	0.158303166784357	4.08595218593247	0.0062320990074109	0.304675981154291	0.839764934591117	0.785100700342174	0.475773716092435	0.840978782299049	5.8967099228634	1.38127344929023	6.81733223926903	2.09449644886181	0.602618153817633	3.80740806640798	2.96323422190244	2.44127516669142	1.6474981973152	0.547010755368296	0.364752069376966	21.0387736364485	1.07963858314774	3.77768770067795	2.5186705196584	1.175452858444	358.880074451387
"Nrip2"	127.386654027411	138.131608624634	6.7160628472842	5.08554333008339	13.1682442813655	11.694551037376	0.226261317263807	5.70518010431403	0.151315403498477	0.194065114393299	2.39602690560888	2.11844789940089	3.91640874481248	0.0477996337209471	1.16608139996025	7.68794678318021	4.02406899149087	2.26243863747641	2.25259343516916	0.0884676539299961	0.0587262174218405	0.0933328907246544	0.00937315778100064	2.04070955936859	1.83759395878729	2.50244619304944	0.0255643416640339	0.276089643124697	0.750447280630873	0.109344207567428	0.387551079589508	0.930755582365702	3.46161745304166	1.50093825905116	2.13953104186573	0.429688518079928	0.31529672668509	0.439181253716972	0.19984895193099	0.760974524601802	0.0630960296483536	0.337881334005567	0.164450148807086	2.72343502551383	0.263365882116741	0.678029955051221	1.77716489473393	0.0413658534116525	358.73756613671
"Cenph"	64.299192198538	134.853931560904	5.63721385380929	46.2723847577495	7.95878552794815	3.35981593657965	0.367339842532319	5.6760094656387	0.442233751373829	1.92276032462442	3.0621954942841	3.3393789906445	0.815750691980233	0.022300978857254	1.20621331442264	8.17788296355284	1.38816086851625	2.53649298347135	2.16293182008397	0.38555688198287	0.199687690869381	0.102928949508173	0.498424926504341	4.46715714517627	3.50481986072829	12.5769840711091	0.0271494357540401	4.35729467331823	1.81996335626868	0.649660318685459	0.436502200907155	8.46767123770625	0.21074558928816	0.705139573051544	5.3041037117972	1.1232331498829	0.0797736669119767	1.59605464072043	0.526313724603639	4.95980618113623	0.828498449219	1.74527962792578	1.15890977619547	2.27371033962378	2.72686910601571	0.702279307319359	3.2709356334276	0.0699148018365841	358.276343352984
"Ctso"	61.6776707110184	150.365816090248	15.5421757380175	11.4672110728766	11.0836400945205	2.75065899818057	0.408962958817837	1.22624826713423	1.04091365068189	2.00964434978532	1.58769407503712	3.04456900071567	2.43499586411257	0.192178313900038	0.168976457458707	6.74212556253712	0.122645081323103	0.2230331534644	7.75770402802914	0.349126214150519	0.643660632468561	0.0378062001234591	0.236373651221043	5.57876783594583	4.14916850672933	3.08891434176475	0.0235039475838979	5.85585573179253	0.845165380314825	0.593795289719565	0.755545317335813	0.658739739398955	7.01933161843939	1.35674659944723	5.71695213624876	7.62660833023763	0.864731652808018	0.135736126311524	0.799230670657282	4.49817436102277	0.537332125277579	0.549193218778044	0.827466294586629	6.56648960954765	6.35058478772446	6.65715283769247	4.96340748662585	1.0697007342665	358.202124846079
"Gm14488"	39.9430079211738	227.140703059987	27.8511426538966	20.1258949006227	4.38580818379604	8.50557383619693	0.115021596316701	0.987252451623217	0.0890926852500275	0.0851505782711703	4.18809440172875	0.738522165384054	0.459005762380178	0.0480256206171972	0.349079233866502	2.11717609329452	1.27738240671591	0.871083980815309	1.29770307872319	0.32442640190329	0.162782165544522	0.0832902396171745	0.0586403690520851	0.619439553754668	0.186376742945196	4.35036312101545	0.014715327674059	0.0652641509874916	0.408167281760375	0.0159941856549271	0.0476406569183894	1.21943959135513	3.49524376099377	0.0140268789437488	0.189320665601891	0.939541131922533	0.447512274331956	0.270277019655738	0.225026175452428	0.421051019639038	0.0927740426418529	0.337649069953671	0.0712263848542527	0.645466451361802	0.119841001251794	0.239926928398833	1.45887146396228	0.573571649131819	357.67258631694
"Bcs1l"	33.7383275830944	136.106231722322	0.12036074645221	89.3462637453573	0.273694646595474	3.3623401655726	0.605887867463801	10.4038373919109	0.439004634150026	3.67366401668751	4.45926025663716	1.19056469727828	0.885343510043736	0.0561143634153049	1.87508455176861	1.60019765258007	2.62755634743588	2.35656256739908	3.42686141055201	0.820212569150286	0.225205282685037	1.20296812157674	0.0719622373788559	4.20104249680007	1.88700983604662	1.48439844946665	0.0324980230676062	0.731454538478689	1.79006772461239	1.65271926640997	0.338116778403533	2.99985002608373	2.10823401997237	0.485723465385879	2.51038951057958	0.810141401961481	1.09713937491121	2.05582795060284	0.669831476660286	3.17161786849042	1.85182198748505	2.74965579749438	0.207505223209991	13.2470567972579	2.5798181693768	4.61880954526683	4.39441324836282	1.10524086034722	357.647889924241
"9130002K18Rik"	36.27094144721	148.337912627143	31.4107962098665	11.8141513776863	3.44050411180621	2.18006603061498	0.173112140305155	5.35052842932014	0.425536007137747	1.49387312010654	0.594268360820889	1.69851706247462	3.17790602135001	0.163734377174904	3.23586023000398	1.83805412771083	1.2754580714544	2.39110773139782	0.977979590187631	0.106938906152044	0.0210511331453635	0.144885687128404	0.597994505680834	7.65669954635373	0.763507784910011	6.59076612007974	0.000585109949925893	1.23607110112904	0.561436829123068	0.0832968085354211	0.913131082023152	0.517124151274295	3.55639845937132	1.5746347915037	8.0452885826028	3.29517295405623	2.32442546256715	0.593589227332274	3.93861260927242	5.86016070916128	1.07814178932137	5.05543240317077	1.62282785823936	23.0332692712233	0.847119710000995	6.88118375253973	12.0156855745445	2.35676291866813	357.522501912832
"Dlat"	50.3622995481466	72.5005237975389	23.2242700766361	36.1003439084136	6.13085697384704	32.1723332655792	0.293917544743994	5.36486166200571	0.634298823399099	3.87172402250429	7.52997400999201	6.32057981975338	4.5555649374856	0.0119264912953824	2.87532391039406	8.21988821016633	0.0696146848486815	2.13511693662539	5.6372519384994	0.174935300269861	0.423862182291046	0.849295705413107	0.233770182612714	5.44996872893896	0.697578988738656	5.14353636641041	0.00912197739985312	3.08943535085406	4.75636942475092	1.75196037477335	0.294736540200744	14.4935439895833	4.29046038093769	2.44237588567821	9.42570414982761	6.38183440594771	0.118019259038004	0.689669702256349	2.44688257627561	1.98544280613594	0.2864997344067	6.10722722105401	1.6075855562051	1.48093219398128	2.17790343991914	2.84009931835142	4.62782279876742	4.98668337404156	357.273928476936
